Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7882018479033405,0.6217948717948718,0.5187165775401069,0.565597667638484
Decision Tree,0.7292110874200426,0.491183879093199,0.5213903743315508,0.5058365758754864
Random Forest,0.7860696517412935,0.6377358490566037,0.45187165775401067,0.5289514866979655
KNN,0.7526652452025586,0.536723163841808,0.5080213903743316,0.521978021978022
SVM,0.7810945273631841,0.6161971830985915,0.4679144385026738,0.5319148936170213
